file,line,bucket,reason,content
static/vsp_upgrade_v100.js,343,STRUCTURED,HTML tags but no interpolation — fixed template,"card.innerHTML = `<div style=""position:relative;height:160px""><canvas id=""rem-donut""></canvas></div><div id=""rem-breakdown"" style=""font-size:12px""></div>`;"
static/vsp_upgrade_v100.js,427,STRUCTURED,HTML tags but no interpolation — fixed template,"chartCard.innerHTML = `<div class=""card-head""><span class=""card-title"">Control family breakdown</span></div><div id=""fedramp-family-chart"" style=""display:flex;flex-wrap:wrap;gap:6px;padding:8px""></div"
static/vsp_upgrade_v100.js,466,STRUCTURED,HTML tags but no interpolation — fixed template,"chartCard.innerHTML = `<div class=""card-head""><span class=""card-title"">CMMC domain coverage</span></div><div id=""cmmc-domain-chart"" style=""display:flex;flex-wrap:wrap;gap:6px;padding:8px""></div>`;"
static/vsp_upgrade_v100.js,559,STRUCTURED,HTML tags but no interpolation — fixed template,"tl.innerHTML = `<div class=""card-head""><span class=""card-title"">Recent activity</span></div><div id=""audit-timeline"" style=""padding:4px 0""></div>`;"
static/ai_analyst.html,883,STRUCTURED,HTML tags but no interpolation — fixed template,"el.innerHTML = `<div class=""msg-av"" style=""background:linear-gradient(135deg,#0ea5e9,#8b5cf6)"">AI</div>"
static/index.html,1701,DYNAMIC,"HTML + unknown source: ['colors[type]', ""icons[type]||'◉'"", 'msg']","t.innerHTML = `<span class=""toast-icon"" style=""color:${colors[type]}"">${icons[type]||'◉'}</span><span>${msg}</span>`;"
static/index.html,2187,DYNAMIC,"HTML + dangerous source: ['r.decision', 'r.score', 'r.posture']","el.innerHTML = `<span style=""color:${color};font-size:16px;font-weight:700"">${r.decision}</span> · score: <b>${r.score}</b> · posture: <b>${r.posture}</b> · <span style=""color:var(--t3)"">${r.reason}</"
static/index.html,2189,STRUCTURED,HTML tags but no interpolation — fixed template,"el.innerHTML = `<span style=""color:var(--red);font-size:16px;font-weight:700"">FAIL</span> · score: <b>—</b> · posture: <b>—</b> · <span style=""color:var(--t3)"">Critical findings detected (Block Critic"
static/index.html,2192,STRUCTURED,HTML tags but no interpolation — fixed template,"el.innerHTML = `<span style=""color:var(--red)"">FAIL</span> · score: — · Block Critical rule triggered`;"
static/index.html,2205,STRUCTURED,HTML + 1 safe interpolation(s) (numeric/date),"el.innerHTML = `<span style=""color:var(--green)"">✓ Chain intact</span> — all audit entries verified · last verified: ${new Date().toLocaleTimeString()}`;"
static/panels/ai_analyst.html,884,STRUCTURED,HTML tags but no interpolation — fixed template,"el.innerHTML = `<div class=""msg-av"" style=""background:linear-gradient(135deg,#0ea5e9,#8b5cf6)"">AI</div>"
static/panels/incident_response.html,288,DYNAMIC,HTML + dangerous source: ['d.title'],document.getElementById('mi-title').innerHTML=`<b>${d.incident_id}</b> — ${d.title}`;
static/panels/incident_response.html,451,DYNAMIC,"HTML + unknown source: [""m.replace(/\\n/g,'<br>')""]","document.getElementById('nc-result').innerHTML=`<div class=""banner banner-blue"">${m.replace(/\n/g,'<br>')}</div>`;"
static/panels/incident_response.html,489,DYNAMIC,"HTML + unknown source: ['uuid.slice(0,8)']","document.getElementById('mc-title').innerHTML=`CIRCIA Report <span class=""mono"" style=""color:var(--t3);font-size:11px"">${uuid.slice(0,8)}…</span>`;"
static/panels/sw_inventory.html,878,STRUCTURED,HTML tags but no interpolation — fixed template,"document.getElementById('hash-result').innerHTML = `<div class=""hash-result result-bad"">"
static/panels/sw_inventory.html,884,STRUCTURED,HTML tags but no interpolation — fixed template,"document.getElementById('hash-result').innerHTML = `<div class=""hash-result result-ok"">"
static/panels/vsp_compliance_table_patch.js,557,STRUCTURED,HTML tags but no interpolation — fixed template,"tbody.innerHTML = `<tr><td colspan=""5"" style=""text-align:center;padding:24px;color:var(--t3);font-size:11px"">"
